F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
314.16,Rest,48.84,5.94,96.5,159.5,-624.57,-6.16,1.36,8,19904.68,Very low,11.44,51.07,3,6.1,0
-305.61,UK,63.57,21.6,184.89,277.84,414.78,-7.62,8.76,4,9546.8,Very high,16.42,103.06,1,13.4,1444.47
684.03,Rest,68.46,4.47,164.44,245.4,-487.71,-3.82,5.96,4,12930.7,High,12.09,34.2,1,-5.96,0
65.25,Europe,53.82,5.67,163.93,297.64,1900.95,-7.95,2.84,8,1745.6,Very low,3.67,0.05,5,75.02,0
-118.38,Rest,72.09,18.36,152.03,283.82,1291.89,-2.54,8.28,8,-18760.66,Very low,5.13,26.65,6,14.88,635.49
1830.15,UK,49.02,2.67,203.48,282.7,517.32,-5.04,5.24,10,6979.04,Low,7.85,34.93,6,152.92,0
371.46,UK,53.82,6,156.65,151.76,1775.13,-7.64,10.46,12,5457,High,4.54,0.1,6,77.62,668.66
-223.11,Europe,57.57,8.61,138.29,172.62,1796.58,-6.05,2.32,12,9030.92,Very low,7.05,31.42,3,94.06,0
816.66,UK,57.21,27.93,142.24,331.24,243.54,-5.49,8.46,12,10829.6,Very low,11.66,4.97,2,51.78,0
1715.1,Europe,60.06,29.22,150.68,254.04,172.59,-4.94,2.08,10,1217,Very high,13.11,0.01,3,122.42,0
-854.13,UK,78.72,17.31,162.97,143.04,3305.91,-5.02,10.28,10,8216.3,Low,11.92,20.07,4,24.36,2039.19
418.74,UK,63.84,1.11,158.75,326.9,35.82,-3.77,12.86,2,12579.68,High,8.05,0.17,6,23.54,1140.17
456.39,Rest,61.23,15.63,173.06,331.94,1192.53,-7.95,18.5,10,-212.6,High,7.42,0.09,5,-24.9,1409.07
617.55,UK,72.15,14.07,62.04,250.06,411.18,-3.67,5.04,8,509.96,Very high,10.91,0.02,5,175.56,0
1294.98,Rest,42.63,4.05,150.9,217.08,-181.89,-7.68,6.52,6,15901.04,Very high,9.87,65.74,0,139.8,0
43.17,Rest,64.29,9.51,147.06,190.2,1637.61,-2.85,6.54,6,23433.26,Low,6.79,1.43,2,23.6,238.58
1081.17,Rest,64.8,34.14,223.24,188.9,911.37,0.31,16.76,12,24015.6,Low,12.4,9.22,3,93.24,394
-24.54,USA,60.84,12.84,196.51,155.34,999.18,-4.25,10.2,10,11974.72,Medium,12.46,4.67,1,-36.32,1668.45
1790.37,USA,62.4,3.63,113.25,268.12,1995.48,-2.96,9.84,8,4619.12,Low,10.89,0.08,5,82.94,0
1701.03,USA,80.46,4.29,162.23,245.54,1671.27,-1.45,8.74,10,12602.7,High,9.94,1083.74,4,7.58,396.9
1331.61,Europe,49.38,19.23,151.08,240.54,230.55,-7.87,4.32,4,7144.3,Medium,13.84,0.59,3,-0.4,385.45
1198.35,USA,47.37,24.75,122.57,258.42,-419.97,-5.35,1.42,8,3524.58,Medium,5.83,0.07,4,19.48,1.14
1111.38,USA,57.06,6.33,176.27,261.26,2749.89,-5.39,8.42,12,-7045,Very high,9.45,1,5,24.94,2280.12
-497.25,UK,60.99,20.76,137,243.44,874.89,-0.01,4.96,10,12934.22,Very low,11.43,1.08,4,49.82,354.05
1213.71,Europe,60.63,11.4,192.19,221.9,972.21,-5.54,11.92,8,10327.32,Very high,10.17,5.57,3,141.34,0
987.27,Europe,47.82,14.64,197.5,237,593.01,-3.63,2.48,6,8667.4,Medium,9.89,0.18,3,28.46,0
1019.04,UK,53.1,3.33,170.26,134.06,1683.36,-3.06,8.08,12,13207.06,Very low,8.52,5.95,5,-47.58,474.22
376.59,UK,35.16,18.45,229.77,271.7,1564.35,-2.46,1.82,8,-4029.34,Medium,8.63,5.94,3,-11.68,887.02
-858.03,Europe,63.81,5.04,136.06,245.9,114.3,-4.86,9.38,6,12653.58,Very low,13.47,0.13,1,7.44,0
234.12,UK,56.1,2.67,171.43,196.26,1542.72,-7.59,5.54,4,19055.56,Medium,12.76,1.4,6,-53,1603.33
703.29,Rest,33.48,0.51,161.56,245.34,903.09,-0.9,3.26,12,14924.62,Low,9.32,0.2,5,134.42,0
736.05,Rest,66.93,7.62,234.8,291.3,1703.85,-4.39,24.14,12,4138.72,Very low,10.9,4.19,1,21.3,376.97
-457.56,Europe,57.81,9.99,169.35,199.4,499.71,-5.56,5.18,8,35524.24,Very low,13.02,3.27,2,107.2,0
429.06,USA,36.42,13.47,197.81,225.4,2230.5,-5.2,1.06,10,414.54,High,10.08,39.44,2,96.12,0
750.93,Rest,84.78,23.34,166.21,214.4,2363.16,-6.7,1.8,6,11377.38,Medium,10.56,1.41,4,121.66,220.26
1388.73,Europe,53.97,14.43,187.03,159.02,104.19,-4.57,4.86,6,13965.2,Medium,11.19,32.53,6,92.4,0
496.98,Rest,55.86,24.06,141.77,198.12,-484.59,-9.15,2.9,10,7754.56,High,10.41,0.01,3,-14.62,199.29
-95.31,USA,59.61,66.48,165.07,229.7,811.74,-3.26,3.74,14,7854.14,Very low,6.47,0.21,1,-22.24,3591.35
2794.95,Rest,79.98,14.64,154.55,253.12,660.42,-3.6,22.58,10,10617.28,High,12.59,0.32,4,21.44,528.88
1005.51,Europe,64.71,10.62,115.94,212.12,1546.47,-3.31,14.06,4,6809.16,Very high,8.51,0.63,5,-20.78,2834.49
1943.1,Europe,58.05,16.11,163.81,177.22,2300.73,-2.91,6.94,12,3101.58,High,8.17,0.03,6,-36.6,2308.87
-462.24,UK,50.04,9.9,157.67,227.92,1411.89,-8.46,14.44,4,8694.14,Very high,6.68,0.74,3,17.82,2087.98
1096.35,Europe,45.06,5.67,187.99,207,1133.85,-7.73,13.24,10,264.06,Medium,9.13,0.07,4,-59.48,1870.88
1018.86,UK,56.61,26.04,107.24,248.4,2806.53,-2.13,1.68,8,26530.66,Medium,9.5,0.05,5,38.72,1394.21
1428.18,Rest,62.76,15.03,212.01,179.68,1579.98,-6.37,17.72,0,4740.6,Very high,12.7,5775.48,6,84.68,1302.46
-1188.63,Rest,76.26,16.14,134.97,218.82,-256.74,-7.37,4.14,8,6523.68,Very high,7.86,1.11,4,24.04,447.14
-700.26,Rest,63.63,4.56,160.23,345.46,1296.81,-3.39,8.7,6,6848,Medium,4.79,0.84,3,30.68,395.47
1059.12,Europe,61.44,11.22,148.5,222,1109.31,-5.41,7.42,8,-2563.68,Very low,13.3,6.59,6,144,0
-1186.26,UK,66.36,7.02,176.49,178.6,-526.47,-1.09,8.2,8,11041.72,Very low,13.17,3.87,6,134.9,0
836.82,USA,77.46,17.37,215.66,234.7,2021.91,-3.72,9.3,4,9460.42,Very high,8.42,3.25,3,-38.42,3729.17
1638.75,Europe,60.51,13.14,229.09,227.56,595.41,-0.2,15.84,4,10695.2,High,12.5,0.02,4,30.84,1920.49
1459.92,Europe,66.99,9.84,146.08,133.18,1132.02,-4.68,0.58,12,-20791.58,High,12.41,227.89,6,96.62,0
684.06,UK,68.67,3.99,137.24,257.96,490.14,1.04,7.5,14,-23982.84,Low,9.59,2.13,5,25.18,0
570.84,Europe,39.72,19.38,189.17,253.48,1764.12,-8.29,11.22,6,5451.78,High,7.93,0.17,1,-16.5,2546.13
-162.75,USA,41.31,10.5,167.79,261.32,610.89,-5.99,7.66,10,9891.44,High,9.29,70.05,4,84.04,87.17
1427.31,UK,65.85,20.64,35.51,289.04,680.31,-3.24,11.08,2,8707.68,High,13.31,0.03,1,45.04,914.5
-1058.91,USA,59.1,11.64,191.74,308.96,1452.27,-1.23,11.26,12,23512.18,Very high,9.91,0.28,5,-90.68,3777.17
302.04,USA,62.43,39.84,180.01,187.7,3249.21,-6.89,5.68,14,10024.84,Medium,7.95,16.18,3,-8.22,3721.82
1541.25,UK,68.61,24.84,168,274.12,1289.43,-3.21,5.36,14,10666.22,Very high,9.91,12.46,4,66.16,351.24
635.07,Rest,6.12,20.91,131.77,223.82,1073.88,-5.45,2.68,6,16706.64,Very high,15.36,0.04,3,-54.1,933.86
1987.62,USA,59.01,29.64,150.69,249.92,541.11,-6.37,10.08,8,4211.36,Medium,9.03,2.45,3,-2.48,1879.29
-995.67,UK,60.18,8.88,156.65,316.94,839.28,-4.81,15.72,12,17090.84,High,11.74,0.1,3,-68.62,2018.38
964.86,Europe,58.74,9.24,188.07,194.48,-265.26,-7.11,27.36,2,10636.14,Medium,9.85,0,3,-7.66,2689.26
1648.41,UK,77.61,12.6,192.75,290.84,-347.19,-4.61,2.64,6,8971.7,Medium,10.28,0.27,3,91.2,0
51.18,UK,57.21,14.52,156.79,222.08,1237.2,-4.88,0.74,10,25367.58,Very high,7.75,3.02,1,149.78,0
657.87,Rest,66.78,3.87,190.44,202.24,-472.05,-0.15,4.34,4,17723.88,Very high,11.73,47.58,2,49.36,0
1133.52,Rest,49.68,13.77,162.09,200.12,2166.66,-1.54,9.12,12,4955.82,High,12.11,0.65,7,14.16,789.58
1461.48,UK,62.91,9.36,161.96,103.76,1216.08,-2.56,3.64,10,-525.92,High,11.28,0.01,7,21.5,523.09
610.02,UK,67.8,9.87,166.03,268.72,371.04,-4.99,11.04,6,12236.06,Low,9.25,0.03,0,8.7,78.22
2692.68,UK,59.91,14.16,108.99,136.2,630.42,-3.88,6.82,8,13331.52,Low,7.81,0.2,6,73.9,0
427.23,UK,68.82,11.76,176.8,260.96,2422.86,-6.89,23.8,14,8806.5,Very low,10.5,0.33,5,-18.4,2102.07
620.04,USA,51.96,10.05,201.78,163.62,928.8,-5.99,8.54,8,-796.56,Medium,12.59,0.02,2,1.34,543.34
844.53,Europe,57.75,5.1,211.98,233.62,1538.04,-4.78,13.54,16,18025.62,Very high,8.59,2.01,7,63.76,883.27
-1800.12,USA,59.49,6.27,175.77,250.64,2670.6,-5.3,5.1,12,7663.52,Very high,6.39,1.31,4,104.52,1737.77
1697.07,UK,59.67,10.17,147.73,196.18,973.92,-3.51,8.34,4,9515.56,High,12.99,2.85,5,55.94,588.91
755.82,UK,65.19,7.14,170.79,228.72,2050.5,-10.54,5.96,10,10149.06,High,6.07,175.71,5,72.8,374.55
1603.56,Rest,63.72,13.29,176.6,240.32,2170.26,-5.52,13.7,6,4585.8,Very high,11.02,0.43,4,123.5,460.81
101.01,Europe,54.39,4.35,120.68,340.16,441.03,-3.95,0.8,4,10739,Low,18.54,1.4,7,-67.96,1506.61
468.84,Europe,96,1.26,166.47,268.92,5.85,-6,12.52,8,-5287.16,Very low,9.14,7.62,5,25.52,0
484.65,Europe,61.56,10.26,159.99,268.86,812.01,-5.15,9.12,6,14327.18,Medium,9.94,17.08,0,19.56,0
1465.2,USA,61.65,15.06,173.19,382.16,937.53,-4.07,16.78,14,16726.82,Medium,16.09,0.58,7,55.14,1385.72
3037.41,USA,64.29,9.27,154.24,135.56,842.82,-10.96,3.52,8,5422.7,High,13.64,4.05,4,35.02,0
1854.57,UK,64.92,14.28,144.39,257.12,3867.24,-4.06,6.2,4,16413.94,Very low,13.29,66.55,8,61.38,1523.13
1747.59,USA,71.73,35.13,222.87,316.02,221.31,-8.81,1.24,10,832.38,Very high,6.36,5.41,4,26.04,857.15
523.56,UK,64.14,17.37,130.11,225.58,122.61,-4.72,11.94,10,3263.6,Medium,10.88,9.11,3,-18.98,884.38
1691.61,UK,70.23,9.99,197.86,267.24,427.59,-2.06,6.08,4,18248.08,Low,8.48,0.1,4,56.68,0
-571.77,Europe,65.94,17.79,177.68,256.04,910.62,-6.04,10.56,4,13737.3,Very high,10.92,0.23,1,107.66,1380.56
1175.76,USA,61.05,10.44,105.73,219.28,2546.04,0.55,9.76,8,14695.38,Medium,10.25,3.81,5,43.06,2171.7
1397.49,USA,62.61,12.81,165.57,198.78,87.12,-6.34,6.96,6,6134.9,Very high,10.86,4.14,4,42.36,302.43
1259.67,Europe,60.96,4.89,224.44,213.66,-744.69,-10.07,8.82,16,10761.88,High,8.24,242.85,3,5.06,0
309.78,Rest,54.78,13.68,277.78,245.14,1847.73,0.1,6.64,8,8396.9,Very high,8.49,0.9,4,-41.96,1129.01
547.71,UK,61.11,6.75,180.56,301.76,812.82,-4.71,3.04,6,13259.68,Medium,9.74,0.06,5,-12.92,604.38
-140.1,USA,62.43,11.88,171.99,190.44,1712.46,-3.5,7.36,8,5121.74,Very high,14.45,0.15,3,-76.66,3684.1
-761.37,UK,72.36,27.99,165.92,246.92,698.07,-8.17,3.34,14,10533.48,Very high,11.22,0.43,6,-4.72,1704.17
1838.64,Europe,57.48,9.99,213.71,203.38,-104.64,-1.88,3.56,6,1392,Very low,9.24,0.35,5,52.54,0
1988.82,Europe,54.15,15.75,137.87,247.5,764.7,-4.27,8.7,2,10445.94,Very low,7.82,0.28,5,11.18,779.08
1286.22,Europe,72.87,2.04,193.27,380.56,1876.41,-4.98,16.9,4,-6193.24,Very low,11.01,0.06,3,124.38,0
1280.85,USA,70.02,42.57,183.34,135.9,487.02,-2.22,8.22,8,4239.3,High,10.39,0.03,7,54.76,3574.75
-72.12,UK,42.87,19.83,174.6,264.26,2396.04,-5.86,5.92,6,24576.82,Very high,7.14,0.06,6,-12.08,2686.19
-81.69,USA,59.64,20.19,82.75,239.26,-221.37,-3.72,4.82,4,6924.7,Very high,10.78,1.19,5,11.84,2870.06
878.61,Europe,67.68,17.91,146.74,239.36,712.47,-3.23,12.82,8,1136.28,High,8.53,0.03,3,57,1125.95
1082.85,USA,60.54,4.02,209.1,181.18,764.46,-0.47,2.74,14,11073.32,Very low,8.23,0.03,3,194.48,0
1152.69,USA,62.67,21,171.99,156.04,283.71,-3.85,3.86,8,1691.3,High,14.13,0.01,2,110.4,0
911.67,UK,63.54,3.03,236.31,287.94,852.69,4.82,6.42,4,25989.56,Very high,11.25,0.22,7,-177.88,2745.53
-444.81,UK,64.8,8.07,149.86,180.54,1203.39,-9.14,2.8,12,8702.42,Low,14.53,6.07,5,-12.1,430.12
471.15,Europe,66.66,1.08,191.03,375.94,512.58,-4.03,12.62,12,23492.76,Medium,13.35,1.07,2,-99.8,1033.16
2747.46,UK,59.43,25.71,234.69,174.98,689.25,-5.06,8.78,12,3366.34,Very high,12.57,0.38,2,0.02,471.76
969.75,Europe,57.18,10.41,169.39,250.52,1065.18,-1.37,8.22,6,6094.48,High,12.59,58.8,3,-35.24,1760.14
-845.61,UK,57.63,4.35,174.59,287.42,2237.13,-8.3,6.92,4,19712.08,Very low,9.46,0.21,6,86.86,886.17
471,USA,50.43,15.42,191.71,266.78,1400.52,-5.64,6.78,10,14124.72,Medium,14.91,0.27,10,-23.5,3614.08
601.95,Europe,68.52,14.94,165.37,205.76,1236.99,-6.01,4.24,4,9967.66,Low,14.05,490.16,6,62.64,642.8
643.05,Rest,83.52,2.97,232.84,138.56,1624.68,-5.75,2.56,12,15024.36,Medium,12.48,10,7,-94.52,583.84
-160.41,UK,58.5,19.26,174.91,134.04,2636.91,-2.75,13.02,2,6495.72,Very low,4.41,12.85,6,8.2,2698.37
973.53,USA,50.13,5.76,160.16,293.48,2317.29,-5.23,7.88,2,8799.48,Low,6.56,0.32,2,7.68,1563.3
616.56,Europe,70.02,8.49,158.92,245.8,1195.59,-3.47,9.62,8,13396.88,Medium,7.68,26.91,1,-52.42,1187.77
1099.8,USA,58.29,4.56,208.09,241.28,503.88,-0.88,10.42,4,-8555.92,Medium,10.07,3.87,6,70.86,304.96
2020.35,UK,63.39,23.43,183.6,150.54,3464.73,-4.15,10.24,10,5195.66,High,8.77,0.14,4,134.04,959.7
698.94,USA,58.5,10.05,163.61,276.38,1242.78,-4.81,2.92,12,8882.9,Low,11.79,2.32,5,102.22,0
1734.27,USA,66.6,9.96,148.8,148.66,2319.84,-2.33,3.04,2,8576.34,Low,10.73,6.89,4,-15.74,1694.88
-1635.96,Europe,49.83,7.14,76.17,247.32,2425.29,-4.01,1.38,8,9936.26,Very low,17.27,0.11,2,50.32,26.4
2563.11,Rest,64.8,3.99,168.77,277.96,1351.71,-3.49,1.4,6,9713.5,Medium,11.7,3.54,5,122.7,0
-167.16,UK,60.9,5.76,200.38,262.04,1715.79,-1.19,8.94,10,1969.6,High,7.27,0.02,4,30.06,962.3
1360.26,Rest,58.71,25.92,154.14,186.28,1741.68,-4.85,7.5,6,7894.14,Very low,10.46,1.42,5,-93.32,1309.85
1334.46,USA,26.82,1.02,249.29,145.32,2281.17,-4.25,15.2,4,8376.06,High,12.2,1.7,4,87.16,1666.02
-274.08,Europe,55.02,2.07,166.24,254.78,1257.99,-4.84,8.48,20,11940.4,Very high,11.23,2.44,4,67.18,0
-376.92,Rest,61.02,13.8,223.38,205.14,1879.62,-6.65,5.52,6,2738.32,Low,6.98,18.05,2,-86.78,998.85
572.91,Rest,68.61,19.44,153.74,203.9,1123.05,0.77,7.4,6,-833.56,Very high,7.93,0.01,2,-48.6,1043.89
-311.79,Europe,64.71,0.36,224.91,82.26,292.17,-4.15,12.54,6,11324.14,Very high,9.11,765.29,2,8.02,1022.1
-183.06,Rest,61.74,9.21,162.76,186.62,497.97,-9.63,2.24,4,-13020.46,Low,11.72,1.16,2,149.14,0
-960.12,Rest,59.37,13.23,194.14,206.68,1935.15,-4.19,3.76,2,9687.9,High,9.98,3.79,8,-58.6,2132.47
498.51,USA,65.43,13.14,95.3,268.84,577.38,-4.97,20.32,4,9038.58,Low,12.28,15,4,21.84,3241.77
1477.32,UK,41.49,14.88,147.07,256.54,2796.15,-4.75,17.4,4,17730.58,Very low,8.03,60.4,4,100.62,1184.05
-554.73,Europe,71.91,3.99,187.33,215.7,1371.51,-2.75,3.64,6,12747.48,Very high,7.22,6.88,6,-16.56,2388.11
-368.73,UK,58.26,1.86,165,298.3,1872.27,-6.59,11.96,4,18046.22,Very high,7.74,0,3,35.16,1605.31
246.39,Rest,64.59,21.12,195.48,224.7,1388.49,-5.76,3.18,2,12258.24,High,10.15,56.93,3,-33.48,1081.64
1484.16,USA,70.5,2.97,165.28,288.22,776.76,-2.54,4.08,4,7567.96,High,9,7,3,156.98,0
-81.36,UK,61.08,20.82,162.64,154.28,2144.22,0.6,2.8,8,12345.36,High,9.12,391.1,3,-32.9,1759
1728.27,Europe,60.24,8.67,162,164.9,1413.48,-7.2,7.56,6,662.72,High,6.96,3.39,5,-99.02,2547.65
-442.77,Rest,65.4,10.5,160.83,175.98,926.73,-4.54,1.28,8,9470.34,High,9.01,1.81,7,-95.38,1142.75
418.98,UK,46.89,2.67,159.58,185.28,1338.18,-2.89,5.72,6,18192.34,High,16.25,0.01,4,-28.38,1051.99
-913.8,UK,73.47,14.1,8.84,238.84,579.6,-5.07,3.98,8,-1147.58,High,9.59,2.72,4,-38.08,1413.83
1643.64,USA,55.26,15,116.8,223.06,1450.74,-3.6,3.58,8,11848,High,7.44,3.35,2,18.88,172.21
892.59,Europe,72.63,9.09,191.74,299.86,950.31,-1.56,6.68,8,-1834.56,High,8.91,0.03,1,-104.48,1750.53
1510.29,USA,29.34,18.99,139.89,216.26,200.22,-6.68,6.2,10,5777,Low,10.69,0.96,3,93.06,0
15.72,Europe,59.13,13.14,175.67,234.32,1395.42,-6.41,4.1,4,14857.7,Low,12.17,17.87,2,87.36,0
1823.37,USA,71.67,13.77,167.95,218.92,2765.67,-3.05,16,8,11599.28,Medium,11.66,626.65,3,-38.94,3599.16
318.39,USA,65.52,11.07,212.68,148.38,917.61,-2.52,2.46,10,17047.04,Low,11.16,2.31,2,134.92,0
-1102.92,Rest,63.72,35.01,172.68,300.02,1626.72,-4.56,5.68,14,-3651.1,Very high,8.22,0.01,2,-9.82,1303.57
1526.88,USA,60.06,11.76,139.63,139.36,2172.06,-9.79,4.54,8,735.88,High,14.02,0.92,5,-125.58,3666.01
982.71,Europe,48.15,8.13,163.98,326.16,1937.94,-1.84,9.92,12,5056.36,Very high,14.65,2891.92,5,49.06,1042.25
781.35,USA,57.18,8.76,152.25,234.38,1022.61,-1.07,10.48,8,21858.82,Very high,10.33,0.28,3,41.58,1031.12
569.82,USA,55.08,7.8,171.27,201.5,2204.88,-1.58,4.7,6,6217.22,Very high,5.4,8.23,2,26.7,1515.56
1395.03,USA,37.56,4.44,178.5,242.1,803.82,-8.49,1.82,14,18030.64,Very high,11,0.03,3,108.8,0
-128.79,Europe,58.95,10.74,231.33,258.28,2396.52,-7.26,1.4,8,6044.22,Very high,12.4,41.23,2,-20.5,1993.53
2143.11,Europe,67.71,4.5,141.47,274.4,561.06,-8.11,2.04,8,6543.42,Very high,5.61,2.95,5,-13.32,0
1943.25,USA,62.31,3.81,148.31,276.02,1325.04,-5.13,7.56,6,8143.72,High,12.95,113.8,5,78.62,0
1510.65,USA,61.41,30.63,144.3,230.58,1266.06,-1.02,1.9,6,8417.92,Low,12.53,3.21,2,8.52,801.73
1013.37,UK,62.94,12.12,141.46,172.42,407.19,-4.59,6.86,8,14926.14,Very low,16.06,0,5,-7.78,287.98
1169.52,USA,55.65,8.37,156.33,187.02,591.87,-8.55,9.2,8,11612.84,Very low,10.86,0.2,4,51.4,0
817.5,Europe,58.77,7.71,199.49,224.88,1865.91,-3.48,12.16,10,11986.34,Low,7.57,4.85,3,-16.08,1234.98
871.59,USA,58.74,34.29,195.23,323.74,828.6,-3.89,2.28,4,8853.4,High,12.21,1.44,1,49.56,1433.63
887.22,Rest,63.45,14.07,189.02,278.7,1609.86,-1.64,12.48,6,15959.34,Medium,7.73,9.34,1,50.28,321.58
1036.23,UK,67.86,16.65,132.93,220.24,-140.55,-5.26,3.46,2,-9192.7,Very low,12.21,1.61,6,63.98,0
606.39,UK,61.44,17.37,157.56,218.48,864.81,-1.83,3,10,17949.6,High,13.33,227.67,2,19.74,183.01
1812.63,USA,76.89,1.29,161.37,296.58,2192.91,-4.7,2.76,12,-5797.16,High,11.65,0.04,3,130.9,0
1402.08,Rest,64.8,46.65,215.97,244.46,2102.4,2.51,4.64,18,14551.62,Very low,10.48,0.74,3,30.26,345.92
1635.96,Europe,95.22,11.01,59.54,259.62,714.27,-5.99,15.1,10,5696.92,Low,11.52,0.09,1,-12.9,0
297.87,Rest,69.54,5.46,150.33,252.08,1931.61,-6.61,2.04,2,-6652.58,Low,10.38,1.55,4,87.74,64.44
1216.65,Rest,61.95,8.61,157.46,321.26,-1172.52,-5.82,5.54,10,13964.44,Medium,7.38,41.99,7,194.74,0
678.54,USA,42.42,0.45,124.19,189.16,322.17,-6.78,7.9,10,-5306.6,High,11.18,5.37,6,54.04,0
802.83,Europe,89.79,9.99,219.89,110.42,2149.44,0.24,3.1,6,18077.72,High,13.11,36.52,3,48.22,457.69
-98.16,USA,67.14,1.83,162.48,295.12,2301.93,-7.06,16.22,8,15237.2,Very high,6.49,1.2,3,-40.4,3721.75
-238.62,UK,70.65,10.65,130.95,305.48,1557.51,-3.51,12.9,4,19581.26,High,12.35,51.58,7,22.26,2316.92
-170.25,USA,98.7,29.46,248.04,266.68,-522,-7.1,2.38,4,3699.44,Very high,8.3,0.03,2,-36,3102.52
2027.67,UK,71.25,1.71,118.18,227.64,500.64,-3.86,36.44,6,2794.68,Low,7.77,0.26,4,124.38,823.58
2513.61,Rest,69.75,15.3,159.9,190,1287.06,-6.8,3.92,6,2156.5,Medium,11.57,0.08,3,-58.84,324.59
1203.93,USA,57.48,0.81,191.18,95.24,859.74,-5.97,3.18,10,17893.3,High,8.73,1.87,6,39.5,0
1558.02,Europe,83.52,7.56,169.34,375.72,1073.58,-5.63,11.44,8,4338.48,Very low,5.42,140.39,6,158.84,0
-721.62,USA,67.65,37.5,134.82,153.62,450.81,0.14,4.88,8,19457.78,High,12,0.08,6,-26.1,3767.15
-307.32,USA,60.15,6,97.34,220.56,2398.26,-10.32,6.64,4,-3046,Very low,13.04,29.19,6,96.18,1059.5
421.56,Europe,51.9,9.48,148.98,333.26,1525.2,-2.26,2.08,12,6864.38,Low,14.71,38.74,4,25.9,0
180.81,Europe,63.81,5.88,191.23,98.64,346.29,-5.23,6.32,8,9341.7,Medium,9.04,0,6,56.94,0
1953.18,USA,64.29,6.99,127.38,235.1,211.74,-5.27,3.66,6,3905.14,Very high,10.95,25.57,2,41.12,0
1349.19,UK,67.26,8.49,171.81,157.16,-92.61,-6.05,11.72,6,6930.1,High,10.87,75.83,7,-44.46,1392.54
813.9,Europe,62.31,15.09,136.38,169.12,-34.8,-6.73,13.22,6,15733.78,Medium,9.53,0,2,85.76,0
1551.33,Rest,46.62,9.81,123.53,227.16,1784.85,-4.29,6.38,10,12466.44,Very high,8.27,0.05,2,-4.66,277.18
275.79,Rest,71.91,11.25,100.38,223.64,1617.51,-3.99,15.26,12,8116.8,Very low,4.57,0.03,3,-0.56,434.07
-521.4,UK,60.72,23.13,168.59,279.64,1751.91,-4.92,1.58,10,7550.38,Low,12.26,0.55,5,106.5,415.11
-232.23,USA,67.74,32.82,205.22,188.52,1900.17,-3.98,8.22,6,9949.14,Very high,10.52,7.33,4,60.42,3734.99
1357.35,USA,40.17,2.43,200.35,240.5,392.16,-4.74,3.82,8,9084.62,Very low,9.27,6.09,2,53.38,0
1549.98,Rest,42.99,13.23,42.94,219.74,24,-7.39,11.08,6,11974.1,Very high,13.28,0.26,2,61.36,79.88
2176.26,Europe,81.03,16.47,208.4,254.98,2565.48,-9.02,0.5,18,13945.04,High,9.66,0.43,3,18.5,0
-1324.86,Rest,73.71,20.1,154.16,320.12,-582.69,-5.5,25.88,6,-14337.62,High,13.06,0.18,6,0.5,2131.02
-179.22,Rest,54.93,13.05,134.89,195.94,634.68,-9.04,4.36,12,11395.2,High,9.74,11.37,8,60.72,282.37
606.12,UK,39.96,12.75,198.73,228.38,-266.88,-5.54,20.98,6,15537.56,Very low,10.49,50.84,2,23.94,615.93
973.2,Rest,42.54,31.65,175.47,216.14,2603.94,-8.59,23.9,10,6529.3,Very high,5.42,0.68,5,-57.52,3178.14
178.44,USA,67.02,5.67,158.99,187.34,901.44,-3.79,10.72,4,-729.68,High,10.85,0.68,5,39.3,2315.23
1764.54,Rest,59.91,10.44,160.67,263.1,2377.38,-12.37,10.58,18,32722.02,Very high,10.68,0.01,6,19.64,421.37
1424.19,Rest,49.86,3.78,196.42,121.78,1425.63,-6.81,10.82,4,24286.36,Low,8.82,2.95,4,-65.28,647.82
347.28,USA,60.75,21.75,123.86,322.52,176.58,-4.74,6.1,8,16832.9,Very low,9.95,0.15,2,130.6,0
-178.74,Europe,67.02,9.09,190.91,280.16,3174.42,-4.71,5.82,14,7574.54,High,8.17,0.21,7,123.36,1012.83
-663.36,UK,60.66,31.17,139.93,268.5,1146,-2.79,6.98,10,-1213.18,Very high,6.08,0.38,7,33.2,2389.1
2820.48,UK,68.19,8.31,117.24,196.06,485.94,-5.74,26.4,10,8355.12,Medium,12.09,8,3,90.54,99.84
153.6,USA,66.45,20.04,164.84,143.1,858.18,-2.82,9.58,10,10691.04,Very low,16.31,0,5,8.8,1789.7
331.77,USA,82.95,9.03,238.02,257.2,592.26,-3.92,5.26,4,12835.86,Very high,5.87,0.67,5,19.06,2069.82
518.1,UK,58.98,4.47,118.98,216.86,359.55,0.3,1.58,8,6627.3,High,8.93,7.33,5,31.7,0
1533.6,UK,52.65,25.38,164.01,322.78,1584.6,-3.53,9.58,8,10695,Low,8.42,0.05,4,34.42,1027.79
508.47,Rest,65.49,8.4,200.95,214.64,1782.96,-7.73,6.6,8,8376.12,Very high,7.77,0.05,5,37.52,558.15
973.23,UK,-4.35,4.53,194.5,271.74,2769.84,-3.24,4.2,6,18523.5,Medium,11.92,0.01,4,-27.34,1228.06
732.24,UK,58.29,11.97,85.19,332.54,2177.64,-0.11,5.68,2,11787.06,Low,15.76,0,4,100,579.51
456.24,USA,63.09,22.56,118.31,158.22,1192.38,-9.37,5.42,8,8975.48,Very low,3.57,0.01,5,149.68,0
357.24,Europe,74.79,27.36,152.45,195.68,1795.44,-3.13,11.4,6,-2558.24,Medium,11.34,0.08,6,42.9,2814.04
